clip_id,model_name,source_text,replacement_text,canonical_term,category,decision,wer_delta,term_recall_delta,reason
earnings22_4474955_0000_180s,tiny,U.S.,UEPS,UEPS,company_name,rejected,0.000000,0.000000,"Glossary lists 'U.S.' as an ASR error form for UEPS, and context mentions 'Security and Exchange Commission' which is plausible for a financial filing."
earnings22_4474955_0000_180s,tiny,Chidian,,Sify Technologies,needs_review,needs_review,0.000000,0.000000,"Raw ASR says 'Chidian' repeatedly, but glossary has no entry for it; likely a different company name, but not in glossary."
earnings22_4474955_0000_180s,tiny,Purigen,,Sify Technologies,needs_review,needs_review,0.000000,0.000000,"Raw ASR says 'Purigen' at start, then switches to 'Chidian'; no glossary match, unclear which company."
earnings22_4474955_0000_180s,tiny,Minlow,,Min-Luo,needs_review,needs_review,0.000000,0.000000,"Glossary has 'Min-Luo' as canonical, but raw ASR says 'Minlow' and 'Min-Luo' earlier; possible name variant, but not in glossary aliases."
earnings22_4474955_0000_180s,tiny,Chidiu,,Sify Technologies,needs_review,needs_review,0.000000,0.000000,"Raw ASR says 'Mrs. Chidiu' as VP; no glossary match, likely a person name."
earnings22_4474955_0000_180s,tiny,Human Rights Commission,,Human Resources,needs_review,needs_review,0.000000,0.000000,"Likely ASR error for 'Human Resources', but not in glossary; context suggests VP role."
earnings22_4474955_0000_180s,tiny,Graduate Security Slication Reform Act,,Private Securities Litigation Reform Act,needs_review,needs_review,0.000000,0.000000,"Obvious ASR error for legal act, but not in glossary; safe harbor context."
earnings22_4474955_0000_180s,tiny,Cynthia,,SEC filing,needs_review,needs_review,0.000000,0.000000,"Likely ASR error for 'filings' or '10-K', but not in glossary."
earnings22_4474955_0000_180s,tiny,on-orchist gap,,non-GAAP,needs_review,needs_review,0.000000,0.000000,Repeated ASR error for 'non-GAAP'; glossary has 'non-GAAP' but raw text is garbled; correction would require multiple words.
earnings22_4474955_0000_180s,tiny,on-orchist-anung gap,,non-GAAP,needs_review,needs_review,0.000000,0.000000,Same as above; garbled ASR for 'non-GAAP'.
earnings22_4474955_0000_180s,tiny,good-dent,,good,needs_review,needs_review,0.000000,0.000000,"Likely ASR error for 'good' or 'prudent', but not in glossary."
earnings22_4474955_0000_180s,tiny,cash credit,,cash credit,needs_review,needs_review,0.000000,0.000000,Possibly 'cash credit' or 'credit' business; no glossary match.
earnings22_4474955_0000_180s,tiny,loan food,,loan book,needs_review,needs_review,0.000000,0.000000,"Likely ASR error for 'loan book', but not in glossary."
earnings22_4474955_0000_180s,tiny,3.4 billion I am being,,3.4 billion RMB,needs_review,needs_review,0.000000,0.000000,"Raw ASR garbled; 'I am being' likely ASR error for 'RMB' or 'yuan', but not in glossary."
