proposal_id,category,language,raw_asr_text,proposed_corrected_text,context,retrieved_terms,overlap_flag,heavy_overlap_flag,speaker_ambiguity_flag,partial_utterance_flag,suggested_gold_label,suggested_rationale,human_checked_label,human_checked_rationale,notes
pilot_001,technical_term_recovery,en,we use piano note for speaker segmentation,we use pyannote for speaker segmentation,The team is discussing pyannote speaker diarization.,"[""pyannote"", ""speaker diarization""]",False,False,False,False,accept,The retrieved term and diarization context directly support pyannote.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_002,technical_term_recovery,en,the piano note was too sharp,the pyannote was too sharp,A musician is discussing the pitch of a physical piano.,"[""pyannote""]",False,False,False,False,reject,The ordinary music phrase is not a pyannote reference.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_003,technical_term_recovery,en,pie anode handled the segments,pyannote handled the segments,The surrounding sentence mentions segments but not speakers.,"[""pyannote""]",False,False,False,False,needs_review,"The phonetic match is plausible, but the domain context is weak.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_004,technical_term_recovery,en,diary station assigns each word to a speaker,diarization assigns each word to a speaker,Speaker-attributed ASR and diarization are being reviewed.,"[""diarization""]",False,False,False,False,accept,Speaker assignment strongly supports the diarization term.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_005,technical_term_recovery,en,the diary station is beside the bookstore,the diarization is beside the bookstore,A traveler is describing a shop named Diary Station.,"[""diarization""]",False,False,False,False,reject,"The phrase is a place name, not a speech-processing term.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_006,technical_term_recovery,en,the diary zation stage failed,the diarization stage failed,A generic pipeline stage is mentioned without speaker evidence.,"[""diarization""]",False,False,False,False,needs_review,"The sound match is strong, but the local context is underspecified.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_007,technical_term_recovery,en,the temporal anger keeps the words aligned,the temporal anchor keeps the words aligned,The discussion is about timestamp alignment and temporal anchors.,"[""temporal anchor""]",False,False,False,False,accept,Alignment context and retrieval directly support temporal anchor.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_008,technical_term_recovery,en,his temporal anger faded after the meeting,his temporal anchor faded after the meeting,The sentence describes a temporary emotional reaction.,"[""temporal anchor""]",False,False,False,False,reject,The correction changes an ordinary emotional phrase into jargon.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_009,technical_term_recovery,en,add a temporal anger near the end,add a temporal anchor near the end,The object being added is not identified.,"[""temporal anchor""]",False,False,False,False,needs_review,The correction is plausible but lacks timestamp or alignment evidence.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_010,ordinary_word_negative_control,en,the rack glossary improves term recovery,the RAG glossary improves term recovery,The ASR correction module retrieves terms from a knowledge base.,"[""RAG""]",False,False,False,False,accept,Retrieval and glossary context support RAG.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_011,ordinary_word_negative_control,en,put the microphones on the rack,put the microphones on the RAG,The team is arranging physical equipment in a room.,"[""RAG""]",False,False,False,False,reject,Rack is a physical object and must not be replaced.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_012,ordinary_word_negative_control,en,the rack step returns more evidence,the RAG step returns more evidence,"Evidence is returned, but retrieval is not explicitly stated.","[""RAG""]",False,False,False,False,needs_review,The context hints at retrieval but remains ambiguous.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_013,ordinary_word_negative_control,en,where is our main transcription metric,WER is our main transcription metric,The benchmark compares ASR word error rate.,"[""WER""]",False,False,False,False,accept,ASR metric context unambiguously supports WER.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_014,ordinary_word_negative_control,en,where did speaker two go,WER did speaker two go,A participant asks about another person's location.,"[""WER""]",False,False,False,False,reject,Where is a normal question word.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_015,ordinary_word_negative_control,en,where improved after preprocessing,WER improved after preprocessing,"A metric may be intended, but ASR is not named nearby.","[""WER""]",False,False,False,False,needs_review,"Preprocessing suggests a metric, but the evidence is incomplete.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_016,ordinary_word_negative_control,en,the dear score measures speaker mistakes,the DER score measures speaker mistakes,The diarization benchmark reports speaker error metrics.,"[""DER""]",False,False,False,False,accept,Diarization metric context directly supports DER.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_017,ordinary_word_negative_control,en,dear Maria thank you for the update,DER Maria thank you for the update,This is the greeting line of an email.,"[""DER""]",False,False,False,False,reject,"Dear is an ordinary greeting, not a metric.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_018,ordinary_word_negative_control,en,the dear number is lower now,the DER number is lower now,A numeric result is discussed without naming diarization.,"[""DER""]",False,False,False,False,needs_review,The metric reading is plausible but not sufficiently grounded.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_019,weak_retrieval_evidence,zh-CN,我们用 q when 生成纠错结果,我们用 Qwen 生成纠错结果,The team compares LLM providers for ASR correction.,"[""Qwen""]",False,False,False,False,accept,Provider context and the retrieved model name support Qwen.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_020,weak_retrieval_evidence,zh-CN,请问队列什么时候开始任务,请 Qwen 队列什么时候开始任务,The speaker is discussing a compute job queue.,"[""Qwen""]",False,False,False,False,reject,The retrieved model is unrelated to the queue question.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_021,weak_retrieval_evidence,zh-CN,q when 返回了一个答案,Qwen 返回了一个答案,No model or API is identified in the neighboring text.,"[""Qwen""]",False,False,False,False,needs_review,"An answer could come from a model, but retrieval evidence is weak.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_022,weak_retrieval_evidence,en,tag speech uses time grounded labels,TagSpeech uses time grounded labels,The literature review discusses the TagSpeech paper.,"[""TagSpeech""]",False,False,False,False,accept,Paper context supports the canonical title.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
