example_id,source_experiment,case_id,variant,raw_text,corrected_text,reference_text,expected_label,label_reason,label_ambiguous,safety_pass,needs_review,correction_rejected,unsupported_change_count,forbidden_change_count,invented_content,speaker_attribution_changed,overlap,uncertainty_level,language,notes,template_group,is_augmented,retrieved_candidates,applied_corrections,expected_terms,true_positive_terms,false_positive_terms,missed_terms,api_used,retrieval_candidate_count,applied_correction_count,expected_term_count,true_positive_term_count,false_positive_term_count,missed_term_count,term_precision,term_recall,term_f1,text_error_before,text_error_after,error_delta,num_changed_tokens,changed_token_ratio,edit_distance_ratio,overlap_flag,heavy_overlap_flag,uncertainty_score,needs_review_input_flag,correction_rejected_input_flag,unsupported_change_count.1,forbidden_change_count.1,invented_content_flag,speaker_attribution_changed_flag,api_used_flag,llm_variant_flag,rule_variant_flag,negative_control_flag,context_risk_score,language_en_flag,language_fr_flag,language_zh_flag,language_other_flag,source_term_rescue_flag,source_overlap_safety_flag,source_independent_flag,augmentation_type
term_rescue__term_001__no_retrieval__0001,term_rescue,term_001,no_retrieval,we use piano note to label the speakers,we use piano note to label the speakers,we use pyannote to label the speakers,needs_review,supported target remains unresolved,True,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.,term_rescue:term_001,False,[],[],"[""pyannote""]",[],[],"[""pyannote""]",False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.285714,0.285714,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
term_rescue__term_001__exact_glossary__0002,term_rescue,term_001,exact_glossary,we use piano note to label the speakers,we use piano note to label the speakers,we use pyannote to label the speakers,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.,term_rescue:term_001,False,"[""pyannote""]",[],"[""pyannote""]","[""pyannote""]",[],[],False,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.285714,0.285714,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
term_rescue__term_001__fuzzy__0003,term_rescue,term_001,fuzzy,we use piano note to label the speakers,we use piano note to label the speakers,we use pyannote to label the speakers,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.,term_rescue:term_001,False,"[""pyannote"", ""pyannote.audio""]",[],"[""pyannote""]","[""pyannote"", ""pyannote.audio""]",[],[],False,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.285714,0.285714,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
term_rescue__term_001__phonetic_like__0004,term_rescue,term_001,phonetic_like,we use piano note to label the speakers,we use piano note to label the speakers,we use pyannote to label the speakers,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.,term_rescue:term_001,False,"[""pyannote""]",[],"[""pyannote""]","[""pyannote""]",[],[],False,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.285714,0.285714,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
term_rescue__term_001__fused__0005,term_rescue,term_001,fused,we use piano note to label the speakers,we use piano note to label the speakers,we use pyannote to label the speakers,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.,term_rescue:term_001,False,"[""pyannote""]",[],"[""pyannote""]","[""pyannote""]",[],[],False,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.285714,0.285714,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
term_rescue__term_001__fused_plus_rule_correction__0006,term_rescue,term_001,fused_plus_rule_correction,we use piano note to label the speakers,we use pyannote to label the speakers,we use pyannote to label the speakers,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.,term_rescue:term_001,False,"[""pyannote""]","[""piano note -> pyannote""]","[""pyannote""]","[""pyannote""]",[],[],False,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.285714,0.0,0.285714,2.0,0.25,0.0769230769230769,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1167307692307692,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
term_rescue__term_001__fused_plus_llm_correction__0007,term_rescue,term_001,fused_plus_llm_correction,we use piano note to label the speakers,We use pyannote to label the speakers.,we use pyannote to label the speakers,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.,term_rescue:term_001,False,"[""pyannote""]","[""piano note -> pyannote""]","[""pyannote""]","[""pyannote""]",[],[],True,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.285714,0.0,0.285714,2.0,0.25,0.1282051282051282,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1228846153846153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
term_rescue__term_002__no_retrieval__0008,term_rescue,term_002,no_retrieval,pie anode produced the speaker turns,pie anode produced the speaker turns,pyannote produced the speaker turns,needs_review,supported target remains unresolved,True,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.,term_rescue:term_002,False,[],[],"[""pyannote""]",[],[],"[""pyannote""]",False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
term_rescue__term_002__exact_glossary__0009,term_rescue,term_002,exact_glossary,pie anode produced the speaker turns,pie anode produced the speaker turns,pyannote produced the speaker turns,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.,term_rescue:term_002,False,"[""pyannote""]",[],"[""pyannote""]","[""pyannote""]",[],[],False,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
term_rescue__term_002__fuzzy__0010,term_rescue,term_002,fuzzy,pie anode produced the speaker turns,pie anode produced the speaker turns,pyannote produced the speaker turns,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.,term_rescue:term_002,False,"[""pyannote""]",[],"[""pyannote""]","[""pyannote""]",[],[],False,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
