proposal_id,source,category,language,raw_asr_text,proposed_corrected_text,reference_text,context,retrieved_terms,overlap_flag,heavy_overlap_flag,speaker_ambiguity_flag,partial_utterance_flag,error_before,error_after,error_delta,binary_label,label_source,label_rule,needs_human_check,notes,case_group
heldout::0001,heldout_controlled,technical_term_recovery,en,piano note,pyannote,pyannote,Test context for technical_term_recovery,"[""pyannote"", ""pyannote.audio""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 1; independent from R1 templates.,heldout_group_1
heldout::0002,heldout_controlled,technical_term_recovery,en,piano note for diarization,pyannote for diarization,pyannote for diarization,Test context for technical_term_recovery,"[""pyannote"", ""pyannote.audio""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 2; independent from R1 templates.,heldout_group_1
heldout::0003,heldout_controlled,technical_term_recovery,en,We use piano note,We use pyannote,We use pyannote,Test context for technical_term_recovery,"[""pyannote"", ""pyannote.audio""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 3; independent from R1 templates.,heldout_group_1
heldout::0004,heldout_controlled,technical_term_recovery,en,We use piano note for diarization,We use pyannote for diarization,We use pyannote for diarization,Test context for technical_term_recovery,"[""pyannote"", ""pyannote.audio""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 4; independent from R1 templates.,heldout_group_1
heldout::0005,heldout_controlled,technical_term_recovery,en,pie anode,pyannote,pyannote,Test context for technical_term_recovery,"[""pyannote"", ""pyannote.audio""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 5; independent from R1 templates.,heldout_group_1
heldout::0006,heldout_controlled,technical_term_recovery,en,pie anode for diarization,pyannote for diarization,pyannote for diarization,Test context for technical_term_recovery,"[""pyannote"", ""pyannote.audio""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 6; independent from R1 templates.,heldout_group_1
heldout::0007,heldout_controlled,technical_term_recovery,en,We use pie anode,We use pyannote,We use pyannote,Test context for technical_term_recovery,"[""pyannote"", ""pyannote.audio""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 7; independent from R1 templates.,heldout_group_1
heldout::0008,heldout_controlled,technical_term_recovery,en,We use pie anode for diarization,We use pyannote for diarization,We use pyannote for diarization,Test context for technical_term_recovery,"[""pyannote"", ""pyannote.audio""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 8; independent from R1 templates.,heldout_group_1
heldout::0009,heldout_controlled,technical_term_recovery,en,piano note audio,pyannote.audio,pyannote.audio,Test context for technical_term_recovery,"[""pyannote"", ""pyannote.audio""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 9; independent from R1 templates.,heldout_group_1
heldout::0010,heldout_controlled,technical_term_recovery,en,piano note audio for diarization,pyannote.audio for diarization,pyannote.audio for diarization,Test context for technical_term_recovery,"[""pyannote"", ""pyannote.audio""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 10; independent from R1 templates.,heldout_group_1
heldout::0011,heldout_controlled,technical_term_recovery,en,We use piano note audio,We use pyannote.audio,We use pyannote.audio,Test context for technical_term_recovery,"[""pyannote"", ""pyannote.audio""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 11; independent from R1 templates.,heldout_group_1
heldout::0012,heldout_controlled,technical_term_recovery,en,We use piano note audio for diarization,We use pyannote.audio for diarization,We use pyannote.audio for diarization,Test context for technical_term_recovery,"[""pyannote"", ""pyannote.audio""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 12; independent from R1 templates.,heldout_group_1
heldout::0013,heldout_controlled,technical_term_recovery,en,diary station,diarization,diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 13; independent from R1 templates.,heldout_group_1
heldout::0014,heldout_controlled,technical_term_recovery,en,diary station for diarization,diarization for diarization,diarization for diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 14; independent from R1 templates.,heldout_group_1
heldout::0015,heldout_controlled,technical_term_recovery,en,We use diary station,We use diarization,We use diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 15; independent from R1 templates.,heldout_group_1
heldout::0016,heldout_controlled,technical_term_recovery,en,We use diary station for diarization,We use diarization for diarization,We use diarization for diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 16; independent from R1 templates.,heldout_group_1
heldout::0017,heldout_controlled,technical_term_recovery,en,diary zation,diarization,diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 17; independent from R1 templates.,heldout_group_1
heldout::0018,heldout_controlled,technical_term_recovery,en,diary zation for diarization,diarization for diarization,diarization for diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 18; independent from R1 templates.,heldout_group_1
heldout::0019,heldout_controlled,technical_term_recovery,en,We use diary zation,We use diarization,We use diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 19; independent from R1 templates.,heldout_group_1
heldout::0020,heldout_controlled,technical_term_recovery,en,We use diary zation for diarization,We use diarization for diarization,We use diarization for diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 20; independent from R1 templates.,heldout_group_1
heldout::0021,heldout_controlled,technical_term_recovery,en,diary station output,diarization output,diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 21; independent from R1 templates.,heldout_group_2
heldout::0022,heldout_controlled,technical_term_recovery,en,diary station output for diarization,diarization output for diarization,diarization for diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 22; independent from R1 templates.,heldout_group_2
heldout::0023,heldout_controlled,technical_term_recovery,en,We use diary station output,We use diarization output,We use diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 23; independent from R1 templates.,heldout_group_2
heldout::0024,heldout_controlled,technical_term_recovery,en,We use diary station output for diarization,We use diarization output for diarization,We use diarization for diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 24; independent from R1 templates.,heldout_group_2
heldout::0025,heldout_controlled,technical_term_recovery,en,rack,RAG,RAG,Test context for technical_term_recovery,"[""RAG""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 25; independent from R1 templates.,heldout_group_2
heldout::0026,heldout_controlled,technical_term_recovery,en,rack for diarization,RAG for diarization,RAG for diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 26; independent from R1 templates.,heldout_group_2
heldout::0027,heldout_controlled,technical_term_recovery,en,We use rack,We use RAG,We use RAG,Test context for technical_term_recovery,"[""RAG""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 27; independent from R1 templates.,heldout_group_2
heldout::0028,heldout_controlled,technical_term_recovery,en,We use rack for diarization,We use RAG for diarization,We use RAG for diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 28; independent from R1 templates.,heldout_group_2
heldout::0029,heldout_controlled,technical_term_recovery,en,rack glossary,RAG glossary,RAG,Test context for technical_term_recovery,"[""RAG""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 29; independent from R1 templates.,heldout_group_2
heldout::0030,heldout_controlled,technical_term_recovery,en,rack glossary for diarization,RAG glossary for diarization,RAG for diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 30; independent from R1 templates.,heldout_group_2
heldout::0031,heldout_controlled,technical_term_recovery,en,We use rack glossary,We use RAG glossary,We use RAG,Test context for technical_term_recovery,"[""RAG""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 31; independent from R1 templates.,heldout_group_2
heldout::0032,heldout_controlled,technical_term_recovery,en,We use rack glossary for diarization,We use RAG glossary for diarization,We use RAG for diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 32; independent from R1 templates.,heldout_group_2
heldout::0033,heldout_controlled,technical_term_recovery,en,rack retrieval,RAG retrieval,RAG,Test context for technical_term_recovery,"[""RAG""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 33; independent from R1 templates.,heldout_group_2
heldout::0034,heldout_controlled,technical_term_recovery,en,rack retrieval for diarization,RAG retrieval for diarization,RAG for diarization,Test context for technical_term_recovery,"[""diarization"", ""speaker diarization""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 34; independent from R1 templates.,heldout_group_2
heldout::0035,heldout_controlled,technical_term_recovery,en,We use rack retrieval,We use RAG retrieval,We use RAG,Test context for technical_term_recovery,"[""RAG""]",False,False,False,False,0.3,0.0,0.3,safe_to_apply,controlled_reference,error_after + 0.010 < error_before,False,Heldout test case 35; independent from R1 templates.,heldout_group_2
