clip_id,dataset_name,language,variant,asr_model,diarization_model,uses_real_asr_prediction,uses_automatic_diarization,num_pyannote_turns,num_anchors,num_speaker_labeled_anchors,num_overlap_anchors,num_events,num_term_candidates,num_correction_audits,num_unsupported_changes,num_needs_review,asr_metric_name,asr_error_rate,conversation_map_path,notes
ami_es2002a_01,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,3,2,1,2,0,3,0,2,WER,0.5625,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002a_01_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002a_02,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,11,7,7,2,3,0,7,0,2,WER,0.178571,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002a_02_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002a_03,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,3,3,3,0,0,1,3,0,0,WER,0.358974,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002a_03_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002a_04,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,3,3,2,0,1,0,3,0,1,WER,0.309091,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002a_04_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002a_05,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,8,1,1,0,4,0,1,0,0,WER,0.733333,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002a_05_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002a_06,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,2,4,3,2,1,1,4,0,3,WER,0.377778,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002a_06_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002b_01,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,7,11,9,3,4,0,11,0,5,WER,0.702703,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002b_01_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002b_02,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,4,3,3,2,2,0,3,0,2,WER,0.297872,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002b_02_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002b_03,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,2,5,4,1,1,0,5,0,2,WER,0.214286,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002b_03_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002b_04,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,1,1,1,0,0,0,1,0,0,WER,0.210526,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002b_04_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002b_05,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,4,4,4,3,2,0,4,0,3,WER,0.142857,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002b_05_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002b_06,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,5,7,5,0,0,0,7,0,2,WER,0.206349,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002b_06_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002c_01,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,11,12,11,9,8,0,12,0,10,WER,0.337209,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002c_01_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002c_02,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,1,3,3,0,0,0,3,0,0,WER,0.413043,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002c_02_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002c_03,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,3,3,2,0,0,0,3,0,1,WER,0.297872,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002c_03_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002c_04,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,8,8,5,3,0,8,0,5,WER,0.3125,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002c_04_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002c_05,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,5,5,5,2,3,0,5,0,2,WER,0.377778,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002c_05_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002c_06,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,4,3,2,1,1,1,3,0,2,WER,0.404255,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002c_06_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
ami_es2002d_01,AMI Meeting Corpus,en,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,1,1,1,0,0,0,1,0,0,WER,0.26,outputs/exports/automatic_pyannote_workflow_heldout_real/automatic_pyannote_evidence_map/ami_es2002d_01_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
