clip_id,dataset_name,language,model_name,metric_name,error_rate,cleaned_metric_name,cleaned_error_rate,reference_text,hypothesis_text,suspected_error_types,candidate_terms_or_entities,missing_reference_tokens,term_eval_candidate,notes
fleurs_en_1578,Google FLEURS,en,tiny,WER,0.9,,,"Then, Lakkha Singh took the lead in singing the bhajans.",Then lock a sink to the lid and sink in the mushrooms.,"[""proper_noun_or_named_entity""]","[""Lakkha Singh""]","[""lakkha"", ""singh"", ""took"", ""lead"", ""singing"", ""bhajans""]",true,
fleurs_fr_1533,Google FLEURS,fr,tiny,WER,0.666667,,,"De nombreux formats courants (famille de formats APS, par exemple) sont égaux à ce rapport d’aspect ou s’en approchent de près.","De nombreux formes à courant, famille, de formes à paix, par exemple, sans égote, à se rapporter d'aspect au son rapproche de vrai.","[""acronym_or_short_code"", ""proper_noun_or_named_entity""]","[""APS""]","[""formats"", ""courants"", ""aps"", ""sont"", ""égaux"", ""rapport"", ""s'en"", ""approchent"", ""près""]",true,
fleurs_fr_1620,Google FLEURS,fr,tiny,WER,0.634146,,,"Maintenant, largement disponible dans tout l’archipel, la cuisine javanaise propose un éventail de plats simplement assaisonnés, les saveurs prédominantes que les Javanais privilégient étant les cacahuètes, les piments, le sucre (en particulier le sucre de coco javanais) et diverses épices aromatiques.","Maintenant, l'argentant disponible dans tout l'archipel à cuisine, j'avenez à se proposer un éventail de place simplement à ses honnées. Dès avoir prédominante que le j'avenez privilégie est en écaquette l'épimant le sucre en particulier sucre de gauche avanée et diverses épices à remettre.","[""proper_noun_or_named_entity""]","[""Javanais""]","[""largement"", ""javanaise"", ""propose"", ""plats"", ""assaisonnés"", ""les"", ""saveurs"", ""prédominantes"", ""javanais"", ""privilégient"", ""étant"", ""cacahuètes"", ""piments"", ""coco"", ""aromatiques""]",true,
fleurs_en_1578,Google FLEURS,en,base,WER,0.6,,,"Then, Lakkha Singh took the lead in singing the bhajans.",Then lock us in to the lead and singing the passions.,"[""proper_noun_or_named_entity""]","[""Lakkha Singh""]","[""lakkha"", ""singh"", ""took"", ""bhajans""]",true,
fleurs_fr_1570,Google FLEURS,fr,tiny,WER,0.565217,,,Il n'avait pas non plus le pouvoir de déroger aux lois fiscales ni à celles sur les droits de douane entre les États.,"Il n'avait pas non plus de pouvoir de dire « Roger Odemaficale », il n'y a sènes sur les 3 de doigts à notre des états.","[""number_or_quantity""]",[],"[""déroger"", ""aux"", ""lois"", ""fiscales"", ""celles"", ""droits"", ""douane"", ""entre""]",false,
ami_es2002a_01,AMI Meeting Corpus,en,base,WER,0.5625,WER_DISFLUENCY_CLEANED,0.461538,Okay . Right . Um well this is the kick-off meeting for our our project . Um and um this is just what we're gonna be doing over the next twenty five minutes Mm-hmm . . Um,"Okay, right. Well, it's the kickoff meeting for our project, and this is just what we're","[""number_or_quantity"", ""meeting_disfluency_or_truncation"", ""truncation_or_omission""]",[],"[""kick-off"", ""gonna"", ""doing"", ""over"", ""next"", ""twenty"", ""five"", ""minutes"", ""mm-hmm""]",false,hypothesis/reference length ratio=0.50; cleaned meeting metric is lower after disfluency removal
fleurs_zh_cn_1648,Google FLEURS,zh-CN,tiny,CER,0.533333,,,迦南没有大森林，所以木材非常昂贵。,"加難沒有大聲,所以穩散非常安慰","[""mandarin_low_frequency_or_script""]",[],"[""迦"", ""南"", ""没"", ""森"", ""林"", ""木"", ""材"", ""昂"", ""贵""]",false,
ami_es2002a_01,AMI Meeting Corpus,en,tiny,WER,0.4375,WER_DISFLUENCY_CLEANED,0.307692,Okay . Right . Um well this is the kick-off meeting for our our project . Um and um this is just what we're gonna be doing over the next twenty five minutes Mm-hmm . . Um,"Okay. Right? Well, it's the kick off meeting for our project and this is just what we're going to be doing over the next 25 minutes.","[""number_or_quantity"", ""meeting_disfluency_or_truncation""]",[],"[""kick-off"", ""gonna"", ""twenty"", ""five"", ""mm-hmm""]",false,cleaned meeting metric is lower after disfluency removal
fleurs_fr_1570,Google FLEURS,fr,base,WER,0.391304,,,Il n'avait pas non plus le pouvoir de déroger aux lois fiscales ni à celles sur les droits de douane entre les États.,"Il n'avait pas non plus le pouvoir de diriger au même fiscal, il y a celles sur les droits de bois d'entre les états.","[""general_asr_error""]",[],"[""déroger"", ""aux"", ""lois"", ""fiscales"", ""douane"", ""entre""]",false,
fleurs_zh_cn_1605,Google FLEURS,zh-CN,tiny,CER,0.371429,,,因为远离大陆，哺乳动物无法长途跋涉而来，使得巨龟成为科隆群岛主要的食草动物。,"因为远离大陆迫入动物,无法长度发生了,而来,使得聚会成为克隆群的主要食堂的物。","[""mandarin_low_frequency_or_script""]",[],"[""哺"", ""乳"", ""途"", ""跋"", ""涉"", ""巨"", ""龟"", ""科"", ""岛"", ""草""]",false,
