clip_id,dataset_name,language,model_name,metric_name,error_rate,cleaned_metric_name,cleaned_error_rate,operation,error_category,impact,reference_span,hypothesis_span,reference_tokens,hypothesis_tokens,reason,recommendation
fleurs_en_1548,Google FLEURS,en,tiny,WER,0.133333,,,replace,semantic_word_error,meaning_may_change,you are,you're,"[""you"", ""are""]","[""you're""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1620,Google FLEURS,en,tiny,WER,0.272727,,,replace,semantic_word_error,meaning_may_change,archipelago javanese,archaeopilago japanese,"[""archipelago"", ""javanese""]","[""archaeopilago"", ""japanese""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1620,Google FLEURS,en,tiny,WER,0.272727,,,replace,semantic_word_error,meaning_may_change,features an,speeches and,"[""features"", ""an""]","[""speeches"", ""and""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1620,Google FLEURS,en,tiny,WER,0.272727,,,replace,semantic_word_error,meaning_may_change,javanese favor,japanese favorite,"[""javanese"", ""favor""]","[""japanese"", ""favorite""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1620,Google FLEURS,en,tiny,WER,0.272727,,,replace,semantic_word_error,meaning_may_change,peanuts chillies,peanut chilies,"[""peanuts"", ""chillies""]","[""peanut"", ""chilies""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1620,Google FLEURS,en,tiny,WER,0.272727,,,replace,semantic_word_error,meaning_may_change,javanese,japanese,"[""javanese""]","[""japanese""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1510,Google FLEURS,en,tiny,WER,0.05,,,replace,semantic_word_error,meaning_may_change,u.n,un,"[""u.n""]","[""un""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1578,Google FLEURS,en,tiny,WER,0.9,,,replace,semantic_word_error,meaning_may_change,lakkha singh took,lock a sink to,"[""lakkha"", ""singh"", ""took""]","[""lock"", ""a"", ""sink"", ""to""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1578,Google FLEURS,en,tiny,WER,0.9,,,replace,semantic_word_error,meaning_may_change,lead,lid and sink,"[""lead""]","[""lid"", ""and"", ""sink""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1578,Google FLEURS,en,tiny,WER,0.9,,,delete,omission_or_insertion,meaning_may_change,singing,,"[""singing""]",[],content was omitted or inserted,Inspect audio and segment boundaries; consider VAD/chunking changes.
fleurs_en_1578,Google FLEURS,en,tiny,WER,0.9,,,replace,semantic_word_error,meaning_may_change,bhajans,mushrooms,"[""bhajans""]","[""mushrooms""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1652,Google FLEURS,en,tiny,WER,0.125,,,replace,semantic_word_error,meaning_may_change,moldova,wildova,"[""moldova""]","[""wildova""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1524,Google FLEURS,fr,tiny,WER,0.105263,,,replace,semantic_word_error,meaning_may_change,telles,dès,"[""telles""]","[""dès""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
