example_id,source_experiment,case_id,variant,raw_text,corrected_text,reference_text,expected_label,language,template_group,is_augmented,retrieved_candidates,applied_corrections,overlap,uncertainty_level,api_used,notes,retrieval_candidate_count,applied_correction_count,expected_term_count,true_positive_term_count,false_positive_term_count,missed_term_count,term_precision,term_recall,term_f1,text_error_before,text_error_after,error_delta,num_changed_tokens,changed_token_ratio,edit_distance_ratio,overlap_flag,heavy_overlap_flag,uncertainty_score,needs_review_input_flag,correction_rejected_input_flag,unsupported_change_count,forbidden_change_count,invented_content_flag,speaker_attribution_changed_flag,api_used_flag,llm_variant_flag,rule_variant_flag,negative_control_flag,context_risk_score,language_en_flag,language_fr_flag,language_zh_flag,language_other_flag,source_term_rescue_flag,source_overlap_safety_flag,source_independent_flag
heldout__pyannote_intro__accept,independent_manual,pyannote_intro,heldout_rule_proposal,we use pie anode for the speaker tracks,we use pyannote for the speaker tracks,we use pyannote for the speaker tracks,accept,en,independent:pyannote_intro,False,"[""pyannote""]","[""proposal_1""]",False,low,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.1282051282051282,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12288461538461538,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__pyannote_intro__reject,independent_manual,pyannote_intro,heldout_llm_proposal,we use pie anode for the speaker tracks,we use pyannote and it identifies every speaker perfectly,we use pyannote for the speaker tracks,reject,en,independent:pyannote_intro,False,"[""pyannote""]","[""proposal_2""]",False,low,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.5087719298245614,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.24355263157894735,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__pyannote_intro__needs_review,independent_manual,pyannote_intro,heldout_llm_proposal,we use pie anode for the speaker tracks,we use pyannote for the speaker,we use pyannote for the speaker tracks,needs_review,en,independent:pyannote_intro,False,"[""pyannote""]","[""proposal_3""]",False,low,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.375,0.3076923076923077,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.16692307692307692,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__diarization_intro__accept,independent_manual,diarization_intro,heldout_rule_proposal,the diary zation stage follows asr,the diarization stage follows ASR,the diarization stage follows ASR,accept,en,independent:diarization_intro,False,"[""diarization"", ""ASR""]","[""proposal_1""]",False,low,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.14705882352941177,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1401470588235294,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__diarization_intro__reject,independent_manual,diarization_intro,heldout_llm_proposal,the diary zation stage follows asr,the diarization stage proves who is telling the truth,the diarization stage follows ASR,reject,en,independent:diarization_intro,False,"[""diarization"", ""ASR""]","[""proposal_2""]",False,low,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.8888888888888888,0.5283018867924528,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.2858962264150943,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__diarization_intro__needs_review,independent_manual,diarization_intro,heldout_llm_proposal,the diary zation stage follows asr,the diarization stage follows,the diarization stage follows ASR,needs_review,en,independent:diarization_intro,False,"[""diarization"", ""ASR""]","[""proposal_3""]",False,low,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.17647058823529413,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.1736764705882353,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__rag_context__accept,independent_manual,rag_context,heldout_rule_proposal,the rack glossary recovered the term,the RAG glossary recovered the term,the RAG glossary recovered the term,accept,en,independent:rag_context,False,"[""RAG""]","[""proposal_1""]",False,medium,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.1111111111111111,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.19333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__rag_context__reject,independent_manual,rag_context,heldout_llm_proposal,the rack glossary recovered the term,the RAG glossary recovered every missing sentence,the RAG glossary recovered the term,reject,en,independent:rag_context,False,"[""RAG""]","[""proposal_2""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5714285714285714,0.4489795918367347,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.306734693877551,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__rag_context__needs_review,independent_manual,rag_context,heldout_llm_proposal,the rack glossary recovered the term,the RAG glossary recovered,the RAG glossary recovered the term,needs_review,en,independent:rag_context,False,"[""RAG""]","[""proposal_3""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.3611111111111111,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.2833333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__wer_metric__accept,independent_manual,wer_metric,heldout_rule_proposal,we report where after normalization,we report WER after normalization,we report WER after normalization,accept,en,independent:wer_metric,False,"[""WER""]","[""proposal_1""]",False,medium,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.14285714285714285,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.20314285714285713,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__wer_metric__reject,independent_manual,wer_metric,heldout_llm_proposal,we report where after normalization,we report WER of zero after normalization,we report WER after normalization,reject,en,independent:wer_metric,False,"[""WER""]","[""proposal_2""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.42857142857142855,0.21951219512195122,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.2534843205574913,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__wer_metric__needs_review,independent_manual,wer_metric,heldout_llm_proposal,we report where after normalization,we report WER after,we report WER after normalization,needs_review,en,independent:wer_metric,False,"[""WER""]","[""proposal_3""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.5428571428571428,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.28714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__der_metric__accept,independent_manual,der_metric,heldout_rule_proposal,the dear score measures speaker error,the DER score measures speaker error,the DER score measures speaker error,accept,en,independent:der_metric,False,"[""DER""]","[""proposal_1""]",False,medium,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.10810810810810811,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.19297297297297297,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__der_metric__reject,independent_manual,der_metric,heldout_llm_proposal,the dear score measures speaker error,the DER score confirms perfect speaker identity,the DER score measures speaker error,reject,en,independent:der_metric,False,"[""DER""]","[""proposal_2""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5714285714285714,0.5106382978723404,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3141337386018237,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__der_metric__needs_review,independent_manual,der_metric,heldout_llm_proposal,the dear score measures speaker error,the DER score measures,the DER score measures speaker error,needs_review,en,independent:der_metric,False,"[""DER""]","[""proposal_3""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.4864864864864865,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.2983783783783784,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__faster_whisper__accept,independent_manual,faster_whisper,heldout_rule_proposal,we tested faster whisper on cpu,we tested faster-whisper on CPU,we tested faster-whisper on CPU,accept,en,independent:faster_whisper,False,"[""faster-whisper""]","[""proposal_1""]",False,low,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.12903225806451613,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.13798387096774192,1.0,0.0,0.0,0.0,0.0,0.0,1.0
