clip_id,dataset_name,language,model_name,terms_source,glossary_path,metric_name,error_rate,reference_terms,baseline_terms,rescued_terms,missing_before,missing_after,unexpected_before,unexpected_after,baseline_term_error_rate,rescued_term_error_rate,term_precision_before,term_recall_before,term_f1_before,term_precision_after,term_recall_after,term_f1_after,reference_text,hypothesis_text,corrected_text,verifier,verifier_decisions,verifier_accept_count,verifier_needs_review_count,verifier_reject_count,verifier_api_used_count,verifier_fallback_used_count,retrieved_candidates,applied_corrections,needs_review_count,rejected_candidates,claim_scope,notes
fleurs_en_1578,Google FLEURS,en,tiny,oracle_diagnostic,data/controlled_terms/current_asr_oracle_terms.json,WER,0.9,"[""Lakkha Singh"", ""bhajans""]",[],"[""Lakkha Singh"", ""bhajans""]","[""Lakkha Singh"", ""bhajans""]",[],[],[],1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,"Then, Lakkha Singh took the lead in singing the bhajans.",Then lock a sink to the lid and sink in the mushrooms.,Then Lakkha Singh to the lid and sink in the bhajans.,rule,"[{""api_used"": false, ""backend"": ""rule"", ""canonical"": ""bhajans"", ""decision"": ""accept"", ""fallback_used"": false, ""matched_form"": ""mushrooms"", ""reason"": ""Accepted as oracle/custom-vocabulary diagnostic candidate."", ""retrieval_method"": ""exact_error_form"", ""retrieval_score"": 1.0}, {""api_used"": false, ""backend"": ""rule"", ""canonical"": ""Lakkha Singh"", ""decision"": ""accept"", ""fallback_used"": false, ""matched_form"": ""lock a sink"", ""reason"": ""Accepted as oracle/custom-vocabulary diagnostic candidate."", ""retrieval_method"": ""exact_error_form"", ""retrieval_score"": 1.0}]",2,0,0,0,0,"[{""canonical"": ""bhajans"", ""matched_form"": ""mushrooms"", ""method"": ""exact_error_form"", ""safe_to_apply"": true, ""score"": 1.0}, {""canonical"": ""Lakkha Singh"", ""matched_form"": ""lock a sink"", ""method"": ""exact_error_form"", ""safe_to_apply"": true, ""score"": 1.0}]","[""mushrooms -> bhajans"", ""lock a sink -> Lakkha Singh""]",0,[],"Oracle/custom-vocabulary diagnostic. Use as an upper-bound or failure-analysis result, not as a generalization claim.",oracle/custom vocabulary diagnostic
fleurs_fr_1620,Google FLEURS,fr,tiny,oracle_diagnostic,data/controlled_terms/current_asr_oracle_terms.json,WER,0.634146,"[""Javanais""]",[],"[""Javanais""]","[""Javanais""]",[],[],[],1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,"Maintenant, largement disponible dans tout l’archipel, la cuisine javanaise propose un éventail de plats simplement assaisonnés, les saveurs prédominantes que les Javanais privilégient étant les cacahuètes, les piments, le sucre (en particulier le sucre de coco javanais) et diverses épices aromatiques.","Maintenant, l'argentant disponible dans tout l'archipel à cuisine, j'avenez à se proposer un éventail de place simplement à ses honnées. Dès avoir prédominante que le j'avenez privilégie est en écaquette l'épimant le sucre en particulier sucre de gauche avanée et diverses épices à remettre.","Maintenant, l'argentant disponible dans tout l'archipel à cuisine, Javanais à se proposer un éventail de place simplement à ses honnées. Dès avoir prédominante que le j'avenez privilégie est en écaquette l'épimant le sucre en particulier sucre de gauche avanée et diverses épices à remettre.",rule,"[{""api_used"": false, ""backend"": ""rule"", ""canonical"": ""Javanais"", ""decision"": ""accept"", ""fallback_used"": false, ""matched_form"": ""j'avenez"", ""reason"": ""Accepted as oracle/custom-vocabulary diagnostic candidate."", ""retrieval_method"": ""exact_error_form"", ""retrieval_score"": 1.0}]",1,0,0,0,0,"[{""canonical"": ""Javanais"", ""matched_form"": ""j'avenez"", ""method"": ""exact_error_form"", ""safe_to_apply"": true, ""score"": 1.0}]","[""j'avenez -> Javanais""]",0,[],"Oracle/custom-vocabulary diagnostic. Use as an upper-bound or failure-analysis result, not as a generalization claim.",oracle/custom vocabulary diagnostic
fleurs_fr_1533,Google FLEURS,fr,tiny,oracle_diagnostic,data/controlled_terms/current_asr_oracle_terms.json,WER,0.666667,"[""APS""]",[],"[""APS""]","[""APS""]",[],[],[],1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,"De nombreux formats courants (famille de formats APS, par exemple) sont égaux à ce rapport d’aspect ou s’en approchent de près.","De nombreux formes à courant, famille, de formes à paix, par exemple, sans égote, à se rapporter d'aspect au son rapproche de vrai.","De nombreux formes à courant, famille, de formes APS, par exemple, sans égote, à se rapporter d'aspect au son rapproche de vrai.",rule,"[{""api_used"": false, ""backend"": ""rule"", ""canonical"": ""APS"", ""decision"": ""accept"", ""fallback_used"": false, ""matched_form"": ""à paix"", ""reason"": ""Accepted as oracle/custom-vocabulary diagnostic candidate."", ""retrieval_method"": ""exact_error_form"", ""retrieval_score"": 1.0}]",1,0,0,0,0,"[{""canonical"": ""APS"", ""matched_form"": ""à paix"", ""method"": ""exact_error_form"", ""safe_to_apply"": true, ""score"": 1.0}]","[""à paix -> APS""]",0,[],"Oracle/custom-vocabulary diagnostic. Use as an upper-bound or failure-analysis result, not as a generalization claim.",oracle/custom vocabulary diagnostic
fleurs_zh_cn_1605,Google FLEURS,zh-CN,tiny,oracle_diagnostic,data/controlled_terms/current_asr_oracle_terms.json,CER,0.371429,"[""巨龟"", ""科隆群岛""]",[],"[""巨龟"", ""科隆群岛""]","[""巨龟"", ""科隆群岛""]",[],[],[],1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,因为远离大陆，哺乳动物无法长途跋涉而来，使得巨龟成为科隆群岛主要的食草动物。,"因为远离大陆迫入动物,无法长度发生了,而来,使得聚会成为克隆群的主要食堂的物。","因为远离大陆迫入动物,无法长度发生了,而来,使得巨龟成为科隆群岛的主要食堂的物。",rule,"[{""api_used"": false, ""backend"": ""rule"", ""canonical"": ""巨龟"", ""decision"": ""accept"", ""fallback_used"": false, ""matched_form"": ""聚会"", ""reason"": ""Accepted as oracle/custom-vocabulary diagnostic candidate."", ""retrieval_method"": ""exact_error_form"", ""retrieval_score"": 1.0}, {""api_used"": false, ""backend"": ""rule"", ""canonical"": ""科隆群岛"", ""decision"": ""accept"", ""fallback_used"": false, ""matched_form"": ""克隆群"", ""reason"": ""Accepted as oracle/custom-vocabulary diagnostic candidate."", ""retrieval_method"": ""exact_error_form"", ""retrieval_score"": 1.0}]",2,0,0,0,0,"[{""canonical"": ""巨龟"", ""matched_form"": ""聚会"", ""method"": ""exact_error_form"", ""safe_to_apply"": true, ""score"": 1.0}, {""canonical"": ""科隆群岛"", ""matched_form"": ""克隆群"", ""method"": ""exact_error_form"", ""safe_to_apply"": true, ""score"": 1.0}]","[""聚会 -> 巨龟"", ""克隆群 -> 科隆群岛""]",0,[],"Oracle/custom-vocabulary diagnostic. Use as an upper-bound or failure-analysis result, not as a generalization claim.",oracle/custom vocabulary diagnostic
fleurs_zh_cn_1648,Google FLEURS,zh-CN,tiny,oracle_diagnostic,data/controlled_terms/current_asr_oracle_terms.json,CER,0.533333,"[""迦南"", ""大森林""]",[],"[""迦南"", ""大森林""]","[""迦南"", ""大森林""]",[],[],[],1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,迦南没有大森林，所以木材非常昂贵。,"加難沒有大聲,所以穩散非常安慰","迦南沒有大森林,所以穩散非常安慰",rule,"[{""api_used"": false, ""backend"": ""rule"", ""canonical"": ""大森林"", ""decision"": ""accept"", ""fallback_used"": false, ""matched_form"": ""大聲"", ""reason"": ""Accepted as oracle/custom-vocabulary diagnostic candidate."", ""retrieval_method"": ""exact_error_form"", ""retrieval_score"": 1.0}, {""api_used"": false, ""backend"": ""rule"", ""canonical"": ""迦南"", ""decision"": ""accept"", ""fallback_used"": false, ""matched_form"": ""加難"", ""reason"": ""Accepted as oracle/custom-vocabulary diagnostic candidate."", ""retrieval_method"": ""exact_error_form"", ""retrieval_score"": 1.0}]",2,0,0,0,0,"[{""canonical"": ""大森林"", ""matched_form"": ""大聲"", ""method"": ""exact_error_form"", ""safe_to_apply"": true, ""score"": 1.0}, {""canonical"": ""迦南"", ""matched_form"": ""加難"", ""method"": ""exact_error_form"", ""safe_to_apply"": true, ""score"": 1.0}]","[""大聲 -> 大森林"", ""加難 -> 迦南""]",0,[],"Oracle/custom-vocabulary diagnostic. Use as an upper-bound or failure-analysis result, not as a generalization claim.",oracle/custom vocabulary diagnostic
fleurs_en_1578,Google FLEURS,en,base,oracle_diagnostic,data/controlled_terms/current_asr_oracle_terms.json,WER,0.6,"[""Lakkha Singh"", ""bhajans""]",[],"[""Lakkha Singh"", ""bhajans""]","[""Lakkha Singh"", ""bhajans""]",[],[],[],1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,"Then, Lakkha Singh took the lead in singing the bhajans.",Then lock us in to the lead and singing the passions.,Then Lakkha Singh to the lead and singing the bhajans.,rule,"[{""api_used"": false, ""backend"": ""rule"", ""canonical"": ""bhajans"", ""decision"": ""accept"", ""fallback_used"": false, ""matched_form"": ""passions"", ""reason"": ""Accepted as oracle/custom-vocabulary diagnostic candidate."", ""retrieval_method"": ""exact_error_form"", ""retrieval_score"": 1.0}, {""api_used"": false, ""backend"": ""rule"", ""canonical"": ""Lakkha Singh"", ""decision"": ""accept"", ""fallback_used"": false, ""matched_form"": ""lock us in"", ""reason"": ""Accepted as oracle/custom-vocabulary diagnostic candidate."", ""retrieval_method"": ""exact_error_form"", ""retrieval_score"": 1.0}]",2,0,0,0,0,"[{""canonical"": ""bhajans"", ""matched_form"": ""passions"", ""method"": ""exact_error_form"", ""safe_to_apply"": true, ""score"": 1.0}, {""canonical"": ""Lakkha Singh"", ""matched_form"": ""lock us in"", ""method"": ""exact_error_form"", ""safe_to_apply"": true, ""score"": 1.0}]","[""passions -> bhajans"", ""lock us in -> Lakkha Singh""]",0,[],"Oracle/custom-vocabulary diagnostic. Use as an upper-bound or failure-analysis result, not as a generalization claim.",oracle/custom vocabulary diagnostic
fleurs_fr_1620,Google FLEURS,fr,base,oracle_diagnostic,data/controlled_terms/current_asr_oracle_terms.json,WER,0.317073,"[""Javanais""]",[],"[""Javanais""]","[""Javanais""]",[],[],[],1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,"Maintenant, largement disponible dans tout l’archipel, la cuisine javanaise propose un éventail de plats simplement assaisonnés, les saveurs prédominantes que les Javanais privilégient étant les cacahuètes, les piments, le sucre (en particulier le sucre de coco javanais) et diverses épices aromatiques.","Maintenant, largement disponible dans tout l'archipel, la cuisine javaneuse propose un éventail de passe simplement à ses onnets, des savers prédominantes que le javane est privé léger, étant les cacahuètes, les piments, le sucre en particulier le sucre de coco javane et diverses épices aromatiques.","Maintenant, largement disponible dans tout l'archipel, la cuisine Javanais propose un éventail de passe simplement à ses onnets, des savers prédominantes que le javane est privé léger, étant les cacahuètes, les piments, le sucre en particulier le sucre de coco javane et diverses épices aromatiques.",rule,"[{""api_used"": false, ""backend"": ""rule"", ""canonical"": ""Javanais"", ""decision"": ""accept"", ""fallback_used"": false, ""matched_form"": ""javaneuse"", ""reason"": ""Accepted as oracle/custom-vocabulary diagnostic candidate."", ""retrieval_method"": ""exact_error_form"", ""retrieval_score"": 1.0}]",1,0,0,0,0,"[{""canonical"": ""Javanais"", ""matched_form"": ""javaneuse"", ""method"": ""exact_error_form"", ""safe_to_apply"": true, ""score"": 1.0}]","[""javaneuse -> Javanais""]",0,[],"Oracle/custom-vocabulary diagnostic. Use as an upper-bound or failure-analysis result, not as a generalization claim.",oracle/custom vocabulary diagnostic
fleurs_fr_1533,Google FLEURS,fr,base,oracle_diagnostic,data/controlled_terms/current_asr_oracle_terms.json,WER,0.333333,"[""APS""]","[""APS""]",[],[],[],[],[],0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"De nombreux formats courants (famille de formats APS, par exemple) sont égaux à ce rapport d’aspect ou s’en approchent de près.","De nombreux formats courants, familles, de formes APS, par exemple sans égo, à ce rapport d'aspect ou sans rapproche de vrai.","De nombreux formats courants, familles, de formes APS, par exemple sans égo, à ce rapport d'aspect ou sans rapproche de vrai.",rule,"[{""api_used"": false, ""backend"": ""rule"", ""canonical"": ""APS"", ""decision"": ""accept"", ""fallback_used"": false, ""matched_form"": ""APS"", ""reason"": ""Accepted as oracle/custom-vocabulary diagnostic candidate."", ""retrieval_method"": ""exact_glossary"", ""retrieval_score"": 1.0}]",1,0,0,0,0,"[{""canonical"": ""APS"", ""matched_form"": ""APS"", ""method"": ""exact_glossary"", ""safe_to_apply"": true, ""score"": 1.0}]",[],0,[],"Oracle/custom-vocabulary diagnostic. Use as an upper-bound or failure-analysis result, not as a generalization claim.",oracle/custom vocabulary diagnostic
fleurs_zh_cn_1605,Google FLEURS,zh-CN,base,oracle_diagnostic,data/controlled_terms/current_asr_oracle_terms.json,CER,0.2,"[""巨龟"", ""科隆群岛""]",[],[],"[""巨龟"", ""科隆群岛""]","[""巨龟"", ""科隆群岛""]",[],[],1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,因为远离大陆，哺乳动物无法长途跋涉而来，使得巨龟成为科隆群岛主要的食草动物。,"因為遠離大陸鋪乳動物無法長度發射而來,使得巨龜成為克龍群島主要的施草動物。","因為遠離大陸鋪乳動物無法長度發射而來,使得巨龜成為克龍群島主要的施草動物。",rule,[],0,0,0,0,0,[],[],0,[],"Oracle/custom-vocabulary diagnostic. Use as an upper-bound or failure-analysis result, not as a generalization claim.",oracle/custom vocabulary diagnostic
fleurs_zh_cn_1648,Google FLEURS,zh-CN,base,oracle_diagnostic,data/controlled_terms/current_asr_oracle_terms.json,CER,0.066667,"[""迦南"", ""大森林""]","[""大森林""]",[],"[""迦南""]","[""迦南""]",[],[],0.500000,0.500000,1.000000,0.500000,0.666667,1.000000,0.500000,0.666667,迦南没有大森林，所以木材非常昂贵。,"加南沒有大森林,所以木材非常昂貴","加南沒有大森林,所以木材非常昂貴",rule,"[{""api_used"": false, ""backend"": ""rule"", ""canonical"": ""大森林"", ""decision"": ""accept"", ""fallback_used"": false, ""matched_form"": ""大森林"", ""reason"": ""Accepted as oracle/custom-vocabulary diagnostic candidate."", ""retrieval_method"": ""exact_glossary"", ""retrieval_score"": 1.0}]",1,0,0,0,0,"[{""canonical"": ""大森林"", ""matched_form"": ""大森林"", ""method"": ""exact_glossary"", ""safe_to_apply"": true, ""score"": 1.0}]",[],0,[],"Oracle/custom-vocabulary diagnostic. Use as an upper-bound or failure-analysis result, not as a generalization claim.",oracle/custom vocabulary diagnostic
