clip_id,dataset_name,language,variant,asr_model,diarization_model,uses_real_asr_prediction,uses_automatic_diarization,num_pyannote_turns,num_anchors,num_speaker_labeled_anchors,num_overlap_anchors,num_events,num_term_candidates,num_correction_audits,num_unsupported_changes,num_needs_review,asr_metric_name,asr_error_rate,conversation_map_path,notes
aishell4_test_001,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,8,10,7,2,1,0,10,0,5,CER,0.5625,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_001_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_004,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,5,4,3,0,0,0,4,0,1,CER,0.610169,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_004_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_005,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,10,7,3,1,0,10,0,6,CER,0.403509,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_005_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_007,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,9,6,4,0,0,0,6,0,2,CER,0.480769,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_007_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_008,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,3,3,3,0,0,0,3,0,0,CER,0.545455,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_008_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_010,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,9,6,0,0,0,9,0,3,CER,0.378378,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_010_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_011,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,2,3,3,0,0,0,3,0,0,CER,0.714286,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_011_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_013,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,10,5,0,0,0,10,0,5,CER,0.82,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_013_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_015,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,2,2,2,0,0,0,2,0,0,CER,0.453488,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_015_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_016,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,5,3,2,0,0,0,3,0,1,CER,0.559524,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_016_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_019,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,10,5,0,0,0,10,0,5,CER,0.572816,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_019_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
