proposal_id,source,category,language,method,gold_label,label_source,predicted_label,correct,unsafe_apply,false_block,applied,error_before,error_after,error_delta,support_score,risk_score,explanation,provider,model,api_used
term::term_001::no_retrieval,term_rescue_controlled,technical_term_recovery,en,always_apply,do_not_apply,controlled_reference,safe_to_apply,False,True,False,True,0.285714,0.285714,0.0,,,Baseline always applies.,,,False
term::term_001::exact_glossary,term_rescue_controlled,technical_term_recovery,en,always_apply,do_not_apply,controlled_reference,safe_to_apply,False,True,False,True,0.285714,0.285714,0.0,,,Baseline always applies.,,,False
term::term_001::fuzzy,term_rescue_controlled,technical_term_recovery,en,always_apply,do_not_apply,controlled_reference,safe_to_apply,False,True,False,True,0.285714,0.285714,0.0,,,Baseline always applies.,,,False
term::term_001::phonetic_like,term_rescue_controlled,technical_term_recovery,en,always_apply,do_not_apply,controlled_reference,safe_to_apply,False,True,False,True,0.285714,0.285714,0.0,,,Baseline always applies.,,,False
term::term_001::fused,term_rescue_controlled,technical_term_recovery,en,always_apply,do_not_apply,controlled_reference,safe_to_apply,False,True,False,True,0.285714,0.285714,0.0,,,Baseline always applies.,,,False
term::term_001::fused_plus_rule_correction,term_rescue_controlled,technical_term_recovery,en,always_apply,safe_to_apply,controlled_reference,safe_to_apply,True,False,False,True,0.285714,0.0,0.285714,,,Baseline always applies.,,,False
term::term_001::fused_plus_llm_correction,term_rescue_controlled,technical_term_recovery,en,always_apply,safe_to_apply,controlled_reference,safe_to_apply,True,False,False,True,0.285714,0.0,0.285714,,,Baseline always applies.,,,False
term::term_002::no_retrieval,term_rescue_controlled,technical_term_recovery,en,always_apply,do_not_apply,controlled_reference,safe_to_apply,False,True,False,True,0.4,0.4,0.0,,,Baseline always applies.,,,False
term::term_002::exact_glossary,term_rescue_controlled,technical_term_recovery,en,always_apply,do_not_apply,controlled_reference,safe_to_apply,False,True,False,True,0.4,0.4,0.0,,,Baseline always applies.,,,False
term::term_002::fuzzy,term_rescue_controlled,technical_term_recovery,en,always_apply,do_not_apply,controlled_reference,safe_to_apply,False,True,False,True,0.4,0.4,0.0,,,Baseline always applies.,,,False
