proposal_id,category,language,method,gold_label,label_source,predicted_label,correct,unsafe_accept,covered,support_score,risk_score,explanation,provider,model,api_used,fallback_used
pilot_001,technical_term_recovery,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_002,technical_term_recovery,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_003,technical_term_recovery,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_004,technical_term_recovery,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_005,technical_term_recovery,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_006,technical_term_recovery,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_007,technical_term_recovery,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_008,technical_term_recovery,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_009,technical_term_recovery,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_010,ordinary_word_negative_control,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_011,ordinary_word_negative_control,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_012,ordinary_word_negative_control,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_013,ordinary_word_negative_control,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_014,ordinary_word_negative_control,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_015,ordinary_word_negative_control,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_016,ordinary_word_negative_control,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_017,ordinary_word_negative_control,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_018,ordinary_word_negative_control,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_019,weak_retrieval_evidence,zh-CN,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_020,weak_retrieval_evidence,zh-CN,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_021,weak_retrieval_evidence,zh-CN,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_022,weak_retrieval_evidence,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_023,weak_retrieval_evidence,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_024,weak_retrieval_evidence,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_025,weak_retrieval_evidence,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_026,weak_retrieval_evidence,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_027,weak_retrieval_evidence,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_028,heavy_overlap,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_029,heavy_overlap,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_030,heavy_overlap,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_031,heavy_overlap,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_032,heavy_overlap,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_033,heavy_overlap,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_034,heavy_overlap,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_035,heavy_overlap,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_036,heavy_overlap,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_037,partial_utterance,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_038,partial_utterance,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_039,partial_utterance,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_040,partial_utterance,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_041,partial_utterance,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_042,partial_utterance,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_043,partial_utterance,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_044,partial_utterance,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_045,partial_utterance,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_046,speaker_attribution_risk,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_047,speaker_attribution_risk,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_048,speaker_attribution_risk,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_049,speaker_attribution_risk,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_050,speaker_attribution_risk,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_051,speaker_attribution_risk,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_052,speaker_attribution_risk,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_053,speaker_attribution_risk,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_054,speaker_attribution_risk,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_055,fluent_hallucination,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_056,fluent_hallucination,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_057,fluent_hallucination,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_058,fluent_hallucination,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_059,fluent_hallucination,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_060,fluent_hallucination,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_061,fluent_hallucination,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_062,fluent_hallucination,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_063,fluent_hallucination,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_064,no_change_case,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_065,no_change_case,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_066,no_change_case,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_067,no_change_case,en,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_068,no_change_case,en,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_069,no_change_case,en,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_070,no_change_case,fr,always_accept,accept,pilot_auto_labeled,accept,True,False,True,,,Baseline always accepts.,,,False,False
pilot_071,no_change_case,fr,always_accept,reject,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_072,no_change_case,fr,always_accept,needs_review,pilot_auto_labeled,accept,False,True,True,,,Baseline always accepts.,,,False,False
pilot_001,technical_term_recovery,en,always_review,accept,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_002,technical_term_recovery,en,always_review,reject,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_003,technical_term_recovery,en,always_review,needs_review,pilot_auto_labeled,needs_review,True,False,False,,,Baseline always abstains for review.,,,False,False
pilot_004,technical_term_recovery,en,always_review,accept,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_005,technical_term_recovery,en,always_review,reject,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_006,technical_term_recovery,en,always_review,needs_review,pilot_auto_labeled,needs_review,True,False,False,,,Baseline always abstains for review.,,,False,False
pilot_007,technical_term_recovery,en,always_review,accept,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_008,technical_term_recovery,en,always_review,reject,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_009,technical_term_recovery,en,always_review,needs_review,pilot_auto_labeled,needs_review,True,False,False,,,Baseline always abstains for review.,,,False,False
pilot_010,ordinary_word_negative_control,en,always_review,accept,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_011,ordinary_word_negative_control,en,always_review,reject,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_012,ordinary_word_negative_control,en,always_review,needs_review,pilot_auto_labeled,needs_review,True,False,False,,,Baseline always abstains for review.,,,False,False
pilot_013,ordinary_word_negative_control,en,always_review,accept,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_014,ordinary_word_negative_control,en,always_review,reject,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_015,ordinary_word_negative_control,en,always_review,needs_review,pilot_auto_labeled,needs_review,True,False,False,,,Baseline always abstains for review.,,,False,False
pilot_016,ordinary_word_negative_control,en,always_review,accept,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_017,ordinary_word_negative_control,en,always_review,reject,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_018,ordinary_word_negative_control,en,always_review,needs_review,pilot_auto_labeled,needs_review,True,False,False,,,Baseline always abstains for review.,,,False,False
pilot_019,weak_retrieval_evidence,zh-CN,always_review,accept,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_020,weak_retrieval_evidence,zh-CN,always_review,reject,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_021,weak_retrieval_evidence,zh-CN,always_review,needs_review,pilot_auto_labeled,needs_review,True,False,False,,,Baseline always abstains for review.,,,False,False
pilot_022,weak_retrieval_evidence,en,always_review,accept,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_023,weak_retrieval_evidence,en,always_review,reject,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
pilot_024,weak_retrieval_evidence,en,always_review,needs_review,pilot_auto_labeled,needs_review,True,False,False,,,Baseline always abstains for review.,,,False,False
pilot_025,weak_retrieval_evidence,en,always_review,accept,pilot_auto_labeled,needs_review,False,False,False,,,Baseline always abstains for review.,,,False,False
